"","X","LRR","var.LRR","scale","col","Study.name","pr.st"
"145",0,-0.22825865198098,0.0441508424987531,1.67518361239331,"darkgreen","Verchot_et_al.",-0.208153712224055
"146",-0.16,0.823200308808143,0.040269028943677,1.6830642535339,"darkgreen","Verchot_et_al.",-0.383604486909878
"147",-0.25,1.41098697371026,0.0595061728395062,1.64962524895832,"darkgreen","Verchot_et_al.",-0.482295547670654
"148",0.29,1.27629346590556,0.0183611094418738,1.75031502380834,"darkgreen","Verchot_et_al.",0.109850816894
"149",0.01,0.348306694268216,0.00976568841044043,1.80437951197629,"darkgreen","Verchot_et_al.",-0.197188038806191
"150",0.31,0.304211374402991,0.0433574467652728,1.67673642041755,"darkgreen","Verchot_et_al.",0.131782163729728
"151",0.07,-0.105360515657826,0.0216737158969669,1.73611166104886,"darkgreen","Verchot_et_al.",-0.131393998299007
"152",0.25,0.78845736036427,0.0966396604938272,1.60810159152418,"darkgreen","Verchot_et_al.",0.0659881232225442
"153",0.1,2.02448658080632,0.219779455530256,1.53774345661727,"darkgreen","Verchot_et_al.",-0.0984969780454153
"154",-0.8,-0.430782916092454,0.028641975308642,1.71223981730173,"darkgreen","Verchot_et_al.",-1.08540758565317
"155",0.01,-0.131769277631123,0.55053754198912,1.45911027021534,"darkgreen","Verchot_et_al.",-0.197188038806191
"156",0.1,0.0828876598057676,0.55394678000949,1.45858162495087,"darkgreen","Verchot_et_al.",-0.0984969780454153
"157",1.33,1.2687313716741,0.0909550916893598,1.61329287832192,"darkgreen","Weitz_et_al.",1.25028085235185
"158",0.42,0.368325561158708,0.0515431143979761,1.66192723882621,"darkgreen","Weitz_et_al.",0.252404571326232
"161",0.4,-1.79275104095035,0.405960059380625,1.48519718139091,"darkgreen","Wick_et_al.",0.230473224490504
"162",-0.69,-0.942905408484348,0.571223523603211,1.45595170239206,"darkgreen","Wick_et_al.",-0.964785178056669
"163",-1.64,-3.30579710770938,0.922336715959984,1.41492294579565,"darkgreen","Wick_et_al.",-2.00652415275375
"165",-0.39,-0.197217951419153,0.00686141155705382,1.83460428155028,"darkgreen","Zhang_et_al.",-0.63581497552075
"166",-0.49,-0.110996775972024,0.0058429401651417,1.84836352314328,"darkgreen","Zhang_et_al.",-0.745471709699389
