"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"816",0.75,0.635634465,0.043310635,"darkgreen",1.00605174052857,59,"T",0.24345854614677
"817",0.4375,0.283881544,0.036222656,"darkgreen",1.00731942146669,59,"T",-1.21380004930574
"818",0.9375,0.434829465,0.080044402,"darkgreen",1.00307868971597,59,"T",1.11781370341828
"819",0.75,0.117392349,0.021935724,"darkgreen",1.01236451350544,59,"T",0.24345854614677
"820",0.4375,0.052232187,0.041380558,"darkgreen",1.00635390689491,59,"T",-1.21380004930574
"821",0.9375,-0.535694279,0.024254177,"darkgreen",1.01114180717417,59,"T",1.11781370341828
"822",0.4375,-0.175034105,0.009412954,"darkgreen",1.02938158702651,59,"T",-1.21380004930574
"823",0.9375,-0.317191646,0.021264946,"darkgreen",1.01276799621948,59,"T",1.11781370341828
"824",0.75,0.07256747,0.024955604,"darkgreen",1.0108166523278,59,"T",0.24345854614677
"898",0.857142857,-0.467185287,0.003519267,"darkgreen",1.07930120978291,63,"T",0.743090063921455
"899",0.857142857,-0.223944084,0.000846905,"darkgreen",1.33087810556332,63,"T",0.743090063921455
"906",0.5,-0.156159741,0.030623152,"darkgreen",1.00873580789981,65,"T",-0.922348330215237
"907",0.75,-0.03058247,0.027422712,"darkgreen",1.00980513796492,65,"T",0.24345854614677
"908",0.9375,-0.349813044,0.025578171,"darkgreen",1.01054299259092,65,"T",1.11781370341828
"909",0.875,-0.128380674,0.022591786,"darkgreen",1.01199305977402,65,"T",0.826361984327774
"910",0.9375,-0.904628216,0.025225311,"darkgreen",1.01069643972957,65,"T",1.11781370341828
"911",0.75,-0.611527521,0.038088098,"darkgreen",1.00694004136057,65,"T",0.24345854614677
"912",0.5,-0.420236358,0.033553266,"darkgreen",1.00793567485248,65,"T",-0.922348330215237
"913",0.875,-0.633385934,0.026903531,"darkgreen",1.01000258994123,65,"T",0.826361984327774
"914",0.75,-0.618555917,0.019665306,"darkgreen",1.01384129254633,65,"T",0.24345854614677
"915",0.5,-0.352150745,0.032804793,"darkgreen",1.00812646960124,65,"T",-0.922348330215237
"916",0.9375,-0.98024944,0.016060649,"darkgreen",1.01704359631828,65,"T",1.11781370341828
"917",0.875,-0.742818544,0.034095018,"darkgreen",1.00780280171808,65,"T",0.826361984327774
"926",0.555555556,-0.095310591,0.050277691,"darkgreen",1.00515401865725,65,"T",-0.663280133395579
"927",0.944444444,-0.164302171,0.073695764,"darkgreen",1.00338066364855,65,"T",1.15019722568912
"928",0.777777778,-0.015266145,0.042925597,"darkgreen",1.0061098510909,65,"T",0.3729926445566
"929",0.888888889,-0.129213857,0.03045301,"darkgreen",1.00878699892167,65,"T",0.891129033532688
"930",0.944444444,-0.002965171,0.123362586,"darkgreen",1.00184780269304,65,"T",1.15019722568912
"931",0.888888889,0.035497694,0.093018837,"darkgreen",1.00258975714951,65,"T",0.891129033532688
"932",0.555555556,-0.166818547,0.063307152,"darkgreen",1.00400544003207,65,"T",-0.663280133395579
"933",0.777777778,0.101821091,0.088397308,"darkgreen",1.00274745948254,65,"T",0.3729926445566
"942",0.5,0.287682072,0.041509676,"darkgreen",1.00633281558832,65,"T",-0.922348330215237
"943",0.625,0.323614237,0.087354694,"darkgreen",1.00278534390287,65,"T",-0.339444892034233
"944",0.875,-0.111703689,0.058768317,"darkgreen",1.00434774306381,65,"T",0.826361984327774
"945",0.75,0.346870678,0.046557562,"darkgreen",1.00559993647448,65,"T",0.24345854614677
"946",0.75,0.059315891,0.012533758,"darkgreen",1.02195957535565,65,"T",0.24345854614677
"947",0.875,-0.548565778,0.037856783,"darkgreen",1.00698505386583,65,"T",0.826361984327774
"948",0.5,0.043484343,0.013446704,"darkgreen",1.0204396917848,65,"T",-0.922348330215237
"949",0.625,0.324496209,0.024417046,"darkgreen",1.01106464203454,65,"T",-0.339444892034233
"950",0.875,-0.451470151,0.014774338,"darkgreen",1.01856462443714,65,"T",0.826361984327774
"951",0.625,0.002312617,0.022419661,"darkgreen",1.01208841109777,65,"T",-0.339444892034233
"952",0.5,0.049499423,0.003434173,"darkgreen",1.08127675481078,65,"T",-0.922348330215237
"953",0.75,-0.020512577,0.0058211,"darkgreen",1.04777448066507,65,"T",0.24345854614677
"958",0.928571429,-1.194120174,0.023832764,"darkgreen",1.01134636182312,65,"T",1.07617774554673
