"","X","LRR","var.LRR","scale","col","ref","pr.st"
"751",4.9,-0.1919,0.5975,1.51295586498239,"darkgreen","Jonasson et al. 1999",1.40622777279874
"752",2.4,0.3109,0.0802,1.65099010419522,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"753",2.8,-0.0296,0.0758,1.65486844962375,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"754",3.9,0.5418,0.0128,1.77712284104061,"darkgreen","Jonasson et al. 1999",0.720251097296264
"755",4.9,0.2232,0.0503,1.68305589993547,"darkgreen","Jonasson et al. 1999",1.40622777279874
"756",2.4,0.4278,0.1367,1.61433651771368,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"757",2.8,0.5847,0.0933,1.64059084608671,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"758",3.9,0.025,0.1288,1.61842812544363,"darkgreen","Jonasson et al. 1999",0.720251097296264
"759",4.9,1.0685,0.0884,1.64429893099902,"darkgreen","Jonasson et al. 1999",1.40622777279874
"760",2.4,2.8332,0.552,1.51840004645162,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"761",2.8,0.4245,0.0733,1.65717363722161,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"762",3.9,-0.4369,0.1327,1.61637777393923,"darkgreen","Jonasson et al. 1999",0.720251097296264
"763",4.9,3.0573,0.7052,1.50156473218595,"darkgreen","Jonasson et al. 1999",1.40622777279874
"768",2.4,-0.6865,0.1297,1.61794950976459,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"770",2.8,-0.3283,0.0867,1.64563361860053,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"772",3.9,-1.4955,0.0927,1.64103429441024,"darkgreen","Jonasson et al. 1999",0.720251097296264
"774",4.9,-0.8317,0.3409,1.55152712855083,"darkgreen","Jonasson et al. 1999",1.40622777279874
"776",2.4,0.1876,0.401,1.54036659357092,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"777",2.8,0.1807,0.2231,1.58066832586548,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"778",3.9,0.2877,0.1214,1.62249512665412,"darkgreen","Jonasson et al. 1999",0.720251097296264
"779",4.9,0,0.5152,1.52314221984829,"darkgreen","Jonasson et al. 1999",1.40622777279874
"784",2.4,0.6257,0.1119,1.62809595525495,"darkgreen","Jonasson et al. 1999",-0.308713915957448
